compression,batchSize,linger,n_topics,fetch_time,Throughput,Latency
None,152631,28,8,17885,18.536585365853657,0.9388793290043292
gzip,256107,5,17,21135,20.149425287356326,0.9313798109385527
None,115004,87,10,845,21.64,0.8660806069227116
None,92627,47,10,29285,27.73529411764706,0.8478733624454157
None,43191,2,4,13302,17.819354838709682,0.8675926199261977
gzip,214892,17,1,499,13.290000000000001,0.6423538135593219
snappy,194294,80,18,27490,19.19782608695653,0.9242015355086391
snappy,150876,1,2,16729,14.895652173913039,0.6658331762488223
None,55797,48,20,15415,23.019417475728154,0.8809529550132315
None,92515,23,7,7620,25.176923076923078,0.9269053791315626
snappy,81714,78,18,10291,19.369565217391308,0.896567818298143
snappy,238248,73,2,9340,13.858333333333333,0.6725573159366273
gzip,80060,86,1,77,12.36,0.6740971786833861
None,72271,54,13,11087,22.591304347826085,0.8349466882067859
gzip,94273,2,19,2985,27.023529411764706,0.9782264631043273
gzip,101879,79,18,19248,19.23695652173914,0.9009996819338422
snappy,166559,72,12,6148,18.749999999999996,0.8183544086021506
snappy,196912,54,17,4243,17.51794871794872,0.891906648757555
snappy,186878,91,19,9015,26.040816326530614,1.015727901054928
gzip,40451,25,16,3454,20.214634146341453,0.9046221600838887
None,168195,79,11,13191,21.66,0.8487173321234105
gzip,116085,86,8,23230,22.792857142857144,0.786941492537314
snappy,218320,34,13,7576,19.985507246376812,0.8218415521422785
None,167190,88,3,9355,23.34444444444445,0.7281519434628968
gzip,150124,11,7,12087,23.555555555555557,0.7894770295783499
gzip,41292,23,5,14728,15.445161290322583,0.7172362525458255
gzip,250785,71,3,27891,17.044444444444444,0.7149718309859161
snappy,186722,14,17,6373,20.57931034482759,0.9294973439575004
gzip,184865,23,9,25719,18.36888888888889,0.7599229219143568
snappy,220317,41,13,6789,19.423188405797102,0.8285991171749586
gzip,205161,16,18,3666,20.100000000000005,0.8966615087040606
None,13674,80,10,21326,21.914285714285715,0.8321466289486096
gzip,149985,75,13,15213,24.751351351351342,0.8506178521617855
None,97365,37,1,29290,19.28,0.7008717139852791
snappy,68355,10,14,6234,19.96666666666667,0.8941628175519634
gzip,192364,79,2,11820,13.708333333333334,0.6738176691729326
gzip,28057,9,1,18864,14.27142857142857,0.6410236051502147
gzip,16867,49,19,5672,27.456000000000003,0.9441451957295403
None,126574,86,11,2705,21.940000000000005,0.855594975760247
snappy,253163,40,16,21230,27.40909090909091,0.937067420266454
snappy,83215,33,17,1480,20.24827586206896,0.8951746927930904
None,152307,50,8,12284,23.136170212765954,0.7993216594827586
None,69125,6,9,8487,20.094117647058823,0.9755992853496676
snappy,87632,90,11,4044,18.7864406779661,0.8465210762331856
snappy,150226,23,15,5756,27.800000000000008,0.910208842105263
snappy,222629,0,16,29188,18.706849315068492,0.9145450450450442
gzip,133047,27,20,2889,20.06138613861386,0.8929948810599239
None,174616,48,18,19290,22.55652173913043,0.9172720870678647
snappy,92098,33,11,28139,26.752941176470593,0.8661411105450844
snappy,165311,91,12,14675,19.096874999999997,0.8276421276595751
gzip,200437,37,7,23128,18.114285714285714,0.7455430579964855
gzip,154098,68,9,28906,18.14117647058823,0.7674772158237372
snappy,133994,6,10,28673,19.894545454545455,0.7975594339622634
None,132479,21,13,22950,20.297142857142855,0.8553036649214653
snappy,37174,16,11,2627,19.87796610169492,0.8573288590604023
None,130452,29,10,1786,20.829090909090908,0.9273903133903142
snappy,51935,56,3,7716,15.496296296296295,0.6932014802631588
gzip,57794,74,20,1241,27.050000000000004,0.9444370701513053
None,103952,32,12,4646,28.329729729729724,0.8436585603112866
gzip,180596,66,12,14426,25.494444444444444,0.8231983430799223
snappy,245797,7,2,24718,14.565217391304348,0.6532182835820894
gzip,176375,0,20,10575,20.19607843137255,0.9101011940298498
snappy,39574,8,10,6525,19.243636363636366,0.805302269435054
snappy,250729,64,4,466,16.61935483870968,0.7374773906597482
gzip,204733,19,8,16395,19.063829787234045,0.8062819148936174
snappy,157652,34,1,24693,13.719999999999999,0.654371458551941
snappy,25644,83,1,11925,13.242857142857144,0.6717652733118967
gzip,162352,15,13,18710,26.13333333333333,0.8697307871448529
snappy,40950,69,20,6396,19.30392156862745,0.9228210806023
gzip,56748,43,19,12834,19.717525773195874,0.8762256097560975
snappy,87623,51,20,17830,27.555555555555564,0.9376655184292119
snappy,174150,86,14,18051,18.680555555555557,0.8587346080305914
gzip,255288,75,18,1546,19.354838709677423,0.894039556962026
snappy,166349,5,20,5257,28.05185185185185,0.9313266666666637
snappy,255248,15,1,10566,13.98,0.6405949632738712
snappy,78267,60,8,7962,18.45714285714286,0.7657692307692298
gzip,23385,75,16,7477,26.018181818181816,0.9073096302316133
snappy,52262,52,16,2052,19.636144578313257,0.8730201179327102
gzip,54906,42,2,1863,16.637500000000003,0.6679181286549708
None,106244,36,1,3965,19.27,0.653002074688796
gzip,206782,80,14,10214,25.469999999999995,0.8823097657976149
gzip,59657,47,12,27235,19.23174603174603,0.7863353267834268
snappy,189730,67,14,12439,19.2,0.8438011428571427
gzip,34883,44,17,2429,19.421428571428574,0.92771865443425
snappy,129426,79,7,25232,21.346153846153843,0.7596421600520483
gzip,208622,96,9,14575,18.639215686274508,0.8064388525415201
snappy,101575,59,4,25920,20.14285714285714,0.7384231999999998
snappy,186486,84,15,21076,18.697435897435902,0.8965519855595655
gzip,162426,1,11,25361,18.6,0.8417687717553454
gzip,243289,50,16,15935,26.173333333333332,0.8972509164969442
snappy,57710,29,2,3472,15.9375,0.6596220703125009
None,196515,23,11,5577,20.332203389830507,0.8809060948081275
snappy,58285,3,20,17451,20.184313725490192,0.9231544183278788
snappy,176907,70,2,6675,13.400000000000002,0.6681392988929882
gzip,15271,64,19,17148,27.903999999999993,0.9511293693693705
gzip,261646,57,16,17826,19.257831325301197,0.8789484679665731
